Date,Open,High,Low,Close,Volume,Adj Close
2012-04-02,38.93,40.130001,38.470001,39.259998,6414400,39.259998
2012-03-26,40.709999,41.00,38.869999,39.23,8063300,39.23
2012-03-19,41.189999,41.380001,39.779999,40.689999,10432000,40.689999
2012-03-12,40.560001,41.169998,39.700001,41.029999,11395500,41.029999
2012-03-05,40.93,41.360001,39.91,41.09,8228500,41.09
2012-02-27,41.529999,42.299999,40.099998,40.77,16219200,40.77
2012-02-21,40.130001,42.07,40.040001,42.009998,10497300,42.009998
2012-02-13,38.509998,39.75,38.150002,39.75,9187600,39.75
2012-02-06,37.330002,38.48,37.040001,38.02,7216200,38.02
2012-01-30,37.93,38.84,36.68,37.59,9204600,37.59
2012-01-23,38.02,38.959999,37.490002,38.299999,8687200,38.299999
2012-01-17,38.59,39.110001,37.68,37.779999,11589200,37.779999
2012-01-09,39.110001,39.73,37.639999,38.16,10610500,38.16
2012-01-03,39.240002,39.959999,38.860001,39.220001,11935700,39.220001
2011-12-27,38.490002,39.209999,37.869999,38.110001,6631700,38.110001
2011-12-19,36.389999,38.610001,35.93,38.490002,7145300,38.490002
2011-12-12,37.959999,39.09,35.73,36.27,15019700,36.27
2011-12-05,39.470001,39.50,37.700001,38.50,8772100,38.50
2011-11-28,38.310001,39.25,37.52,39.029999,13444800,39.029999
2011-11-21,37.41,38.119999,36.790001,37.16,9505800,37.16
2011-11-14,37.950001,39.740002,37.349998,37.82,15227500,37.82
2011-11-07,36.73,38.259998,36.470001,38.209999,13850000,38.209999
2011-10-31,35.459999,36.52,34.540001,36.459999,11210900,36.459999
2011-10-24,34.040001,36.490002,34.02,36.029999,15679300,36.029999
2011-10-17,33.549999,34.630001,32.52,33.849998,9692100,33.849998
2011-10-10,32.73,33.869999,32.189999,33.869999,9905000,33.869999
2011-10-03,30.01,32.419998,29.10,32.040001,17081400,32.040001
2011-09-26,30.709999,32.830002,30.23,30.49,13069200,30.49
2011-09-19,33.259998,34.060001,30.59,31.09,13292100,31.09
2011-09-12,33.689999,35.080002,33.549999,34.139999,9972600,34.139999
2011-09-06,32.619999,35.00,32.599998,33.849998,9973100,33.849998
2011-08-29,33.970001,34.889999,33.169998,33.639999,9258300,33.639999
2011-08-22,32.720001,33.619999,31.85,33.150002,14129600,33.150002
2011-08-15,33.66,34.630001,31.450001,32.119999,14609500,32.119999
2011-08-08,32.549999,34.060001,30.309999,33.23,23287300,33.23
2011-08-01,38.389999,38.470001,32.900002,33.950001,17588000,33.950001
2011-07-25,38.50,39.25,37.200001,37.419998,7569200,37.419998
2011-07-18,37.700001,39.09,37.099998,38.93,7566000,38.93
2011-07-11,37.279999,38.869999,36.93,38.130001,10185400,38.130001
2011-07-05,37.720001,38.98,37.50,37.799999,9813500,37.799999
2011-06-27,35.330002,37.599998,35.139999,37.150002,10565000,37.150002
2011-06-20,36.490002,37.549999,35.209999,35.810001,12561300,35.810001
2011-06-13,38.720001,39.389999,36.200001,36.630001,13056800,36.630001
